iter	Passed	Remaining
402	11818	46835
403	11876	46918
404	11899	46863
405	11929	46834
406	11986	46914
407	12009	46862
408	12066	46938
409	12093	46900
410	12135	46916
411	12172	46917
412	12219	46954
413	12248	46922
414	12268	46856
415	12293	46811
416	12323	46783
417	12372	46826
418	12400	46790
419	12422	46732
420	12444	46675
421	12477	46657
422	12500	46604
423	12522	46547
424	12543	46485
425	12576	46469
426	12607	46443
427	12624	46367
428	12641	46293
429	12669	46259
430	12690	46199
431	12708	46127
432	12742	46115
433	12763	46053
434	12819	46121
435	12841	46063
436	12857	45987
437	12884	45949
438	12900	45873
439	12956	45935
440	12987	45911
441	13015	45879
442	13036	45819
443	13059	45768
444	13082	45716
445	13104	45659
446	13150	45688
447	13190	45696
448	13220	45669
449	13251	45644
450	13273	45588
451	13295	45535
452	13325	45508
453	13352	45467
454	13382	45442
455	13409	45403
456	13435	45362
457	13459	45314
458	13481	45261
459	13511	45234
460	13534	45183
461	13563	45151
462	13584	45096
463	13607	45046
464	13631	44997
465	13658	44961
466	13686	44929
467	13717	44903
468	13747	44877
469	13766	44815
470	13794	44781
471	13813	44717
472	13832	44656
473	13857	44611
474	13875	44546
475	13903	44514
476	13935	44492
477	13987	44538
478	14009	44485
479	14030	44431
480	14064	44417
481	14088	44371
482	14113	44327
483	14140	44289
484	14169	44262
485	14201	44240
486	14234	44223
487	14264	44197
488	14295	44173
489	14329	44159
490	14358	44127
491	14391	44111
492	14412	44056
493	14434	44004
494	14454	43948
495	14475	43892
496	14497	43843
497	14531	43828
498	14560	43797
499	14592	43776
500	14615	43729
501	14651	43722
502	14677	43681
503	14695	43620
504	14715	43563
505	14747	43541
506	14778	43519
507	14809	43496
508	14842	43476
509	14876	43461
510	14905	43433
511	14937	43411
512	14956	43353
513	14976	43296
514	14998	43249
515	15031	43229
516	15062	43205
517	15093	43181
518	15126	43163
519	15145	43105
520	15164	43047
521	15186	42998
522	15221	42987
523	15250	42958
524	15278	42925
525	15306	42892
526	15341	42879
527	15369	42849
528	15404	42835
529	15440	42826
530	15471	42800
531	15501	42774
532	15536	42763
533	15588	42796
534	15655	42869
535	15701	42886
536	15753	42918
537	15802	42942
538	15851	42965
539	15882	42941
540	15925	42949
541	15971	42964
542	15996	42921
543	16018	42873
544	16043	42832
545	16068	42789
546	16123	42828
547	16148	42788
548	16184	42775
549	16205	42724
550	16235	42694
551	16260	42654
552	16293	42633
553	16316	42588
554	16344	42553
555	16370	42516
556	16392	42467
557	16413	42417
558	16438	42375
559	16479	42374
560	16531	42405
561	16568	42393
562	16599	42369
563	16631	42346
564	16660	42314
565	16690	42286
566	16715	42246
567	16739	42202
568	16766	42166
569	16797	42140
570	16825	42107
571	16858	42086
572	16884	42049
573	16908	42005
574	16940	41983
575	16970	41955
576	16995	41915
577	17018	41869
578	17041	41822
579	17087	41834
580	17127	41830
581	17160	41809
582	17188	41777
583	17218	41749
584	17245	41714
585	17269	41671
586	17294	41631
587	17323	41600
588	17347	41558
589	17374	41522
590	17398	41479
591	17477	41567
592	17498	41519
593	17522	41476
594	17547	41436
595	17573	41398
596	17597	41356
597	17635	41346
598	17667	41321
599	17694	41288
600	17721	41251
601	17746	41212
602	17773	41177
603	17797	41135
604	17820	41090
605	17852	41066
606	17875	41022
607	17897	40976
608	17948	40995
609	17978	40966
610	18009	40940
611	18036	40905
612	18058	40859
613	18086	40827
614	18112	40789
615	18148	40774
616	18187	40767
617	18218	40741
618	18248	40712
619	18279	40686
620	18315	40671
621	18360	40675
622	18391	40649
623	18431	40643
624	18466	40626
625	18505	40618
626	18546	40612
627	18611	40660
628	18669	40693
629	18715	40698
630	18754	40689
631	18792	40676
632	18827	40659
633	18858	40632
634	18901	40630
635	18935	40609
636	18962	40574
637	18994	40549
638	19022	40516
639	19051	40483
640	19079	40451
641	19105	40413
642	19131	40375
643	19159	40341
644	19193	40321
645	19223	40291
646	19254	40265
647	19308	40284
648	19356	40292
649	19413	40320
650	19439	40281
651	19489	40293
652	19520	40266
653	19550	40237
654	19574	40195
655	19599	40154
656	19625	40116
657	19650	40077
658	19678	40043
659	19702	40002
660	19725	39958
661	19750	39919
662	19784	39897
663	19813	39866
664	19835	39819
665	19857	39774
666	19892	39754
667	19923	39727
668	19955	39701
669	19987	39675
670	20008	39628
671	20033	39589
672	20065	39563
673	20090	39524
674	20163	39579
675	20194	39552
676	20231	39536
677	20282	39548
678	20310	39514
679	20354	39511
680	20381	39476
681	20425	39473
682	20449	39431
683	20470	39385
684	20502	39357
685	20532	39328
686	20567	39309
687	20591	39268
688	20615	39226
689	20639	39185
690	20667	39152
691	20693	39114
692	20718	39075
693	20745	39039
694	20775	39009
695	20802	38974
696	20831	38943
697	20857	38906
698	20884	38871
699	20909	38832
700	20936	38797
701	20961	38758
702	20987	38719
703	21007	38672
704	21032	38633
705	21061	38603
706	21113	38613
707	21158	38611
708	21188	38581
709	21236	38584
710	21270	38562
711	21300	38532
712	21373	38579
713	21399	38542
714	21426	38507
715	21452	38470
716	21477	38431
717	21505	38397
718	21529	38358
719	21567	38341
720	21593	38305
721	21628	38284
722	21657	38253
723	21690	38227
724	21713	38185
725	21736	38143
726	21759	38101
727	21796	38083
728	21828	38056
729	21854	38020
730	21888	37997
731	21911	37955
732	21935	37915
733	21960	37877
734	21995	37855
735	22025	37827
736	22046	37780
737	22067	37736
738	22103	37715
739	22136	37692
740	22167	37663
741	22189	37620
742	22212	37578
743	22244	37553
744	22276	37525
745	22306	37496
746	22339	37472
747	22361	37427
748	22385	37388
749	22418	37363
750	22448	37334
751	22468	37287
752	22497	37256
753	22528	37228
754	22565	37211
755	22593	37177
756	22623	37148
757	22666	37140
758	22687	37094
759	22730	37087
760	22753	37045
761	22775	37001
762	22813	36986
763	22835	36943
764	22860	36905
765	22882	36863
766	22905	36822
767	22961	36834
768	22982	36790
769	23013	36762
770	23047	36738
771	23075	36706
772	23092	36654
773	23109	36605
774	23127	36555
775	23146	36508
776	23164	36460
777	23188	36421
778	23220	36395
779	23273	36401
780	23292	36355
781	23311	36308
782	23345	36285
783	23402	36297
784	23436	36273
785	23493	36285
786	23514	36243
787	23546	36215
788	23562	36164
789	23578	36113
790	23594	36063
791	23623	36032
792	23657	36008
793	23711	36014
794	23732	35971
795	23770	35954
796	23800	35924
797	23820	35879
798	23840	35835
799	23861	35792
800	23881	35747
801	23908	35714
802	23930	35672
803	23951	35628
804	23985	35605
805	24037	35608
806	24063	35573
807	24093	35544
808	24143	35543
809	24175	35516
810	24207	35490
811	24229	35448
812	24253	35410
813	24276	35371
814	24299	35330
815	24334	35308
816	24357	35268
817	24377	35225
818	24397	35181
819	24417	35137
820	24436	35091
821	24454	35046
822	24474	35001
823	24493	34956
824	24512	34911
825	24531	34867
826	24552	34825
827	24593	34811
828	24612	34766
829	24629	34718
830	24683	34723
831	24704	34681
832	24721	34634
833	24738	34585
834	24786	34582
835	24807	34540
836	24823	34491
837	24839	34443
838	24860	34401
839	24891	34373
840	24920	34344
841	24937	34296
842	24955	34250
843	24974	34206
844	25002	34174
845	25020	34129
846	25038	34083
847	25067	34053
848	25095	34022
849	25153	34031
850	25175	33990
851	25223	33986
852	25243	33944
853	25269	33909
854	25290	33868
855	25315	33832
856	25346	33804
857	25376	33775
858	25405	33746
859	25423	33700
860	25451	33669
861	25482	33641
862	25513	33614
863	25571	33622
864	25593	33582
865	25610	33536
866	25627	33490
867	25645	33445
868	25670	33410
869	25726	33415
870	25748	33375
871	25778	33346
872	25795	33301
873	25813	33256
874	25854	33241
875	25873	33198
876	25902	33168
877	25919	33122
878	25936	33076
879	25966	33048
880	26022	33052
881	26044	33012
882	26062	32968
883	26078	32922
884	26118	32906
885	26138	32865
886	26167	32834
887	26183	32788
888	26202	32745
889	26230	32714
890	26261	32686
891	26295	32663
892	26319	32626
893	26344	32592
894	26375	32564
895	26406	32536
896	26439	32511
897	26474	32488
898	26503	32459
899	26531	32426
900	26586	32429
901	26610	32392
902	26646	32371
903	26680	32346
904	26711	32319
905	26737	32285
906	26787	32280
907	26834	32272
908	26865	32244
909	26896	32217
910	26925	32186
911	26958	32160
912	27022	32172
913	27069	32163
914	27117	32156
915	27146	32125
916	27168	32086
917	27191	32049
918	27227	32026
919	27282	32026
920	27318	32004
921	27341	31968
922	27363	31929
923	27397	31904
924	27426	31873
925	27457	31846
926	27477	31804
927	27495	31762
928	27515	31720
929	27535	31680
930	27561	31646
931	27582	31607
932	27601	31566
933	27659	31568
934	27681	31530
935	27743	31537
936	27766	31499
937	27786	31459
938	27809	31422
939	27840	31394
940	27866	31360
941	27894	31329
942	27925	31301
943	27947	31262
944	27966	31221
945	27988	31183
946	28021	31157
947	28051	31129
948	28082	31100
949	28114	31073
950	28146	31047
951	28191	31034
952	28211	30994
953	28233	30955
954	28254	30916
955	28274	30877
956	28315	30859
957	28373	30861
958	28401	30829
959	28431	30801
960	28454	30763
961	28478	30728
962	28500	30690
963	28530	30661
964	28560	30631
965	28582	30594
966	28605	30557
967	28635	30528
968	28657	30491
969	28683	30457
970	28711	30426
971	28731	30387
972	28754	30349
973	28790	30327
974	28824	30302
975	28852	30271
976	28885	30245
977	28906	30207
978	28930	30171
979	28971	30153
980	28994	30118
981	29034	30098
982	29065	30070
983	29141	30088
984	29176	30065
985	29257	30088
986	29282	30053
987	29313	30025
988	29342	29995
989	29379	29973
990	29408	29942
991	29436	29911
992	29464	29879
993	29489	29845
994	29523	29820
995	29566	29803
996	29592	29770
997	29633	29752
998	29672	29731
999	29705	29705
1000	29739	29680
1001	29771	29652
1002	29805	29627
1003	29833	29595
1004	29859	29562
1005	29887	29530
1006	29912	29496
1007	29954	29479
1008	29983	29448
1009	30012	29418
1010	30035	29381
1011	30056	29343
1012	30078	29306
1013	30104	29273
1014	30127	29237
1015	30156	29206
1016	30185	29176
1017	30217	29148
1018	30243	29115
1019	30299	29111
1020	30328	29080
1021	30357	29050
1022	30383	29017
1023	30447	29020
