iter	Logloss
0	0.6908859656
1	0.6889745517
2	0.6858168203
3	0.6838044299
4	0.6816920595
5	0.6798291206
6	0.6779570675
7	0.6760326941
8	0.6742401353
9	0.6728445173
10	0.6715969322
11	0.6698712046
12	0.6681299478
13	0.6667273315
14	0.6651209724
15	0.6639775445
16	0.6623592609
17	0.6613013793
18	0.6601132054
19	0.6586927288
20	0.6575092118
21	0.6563088508
22	0.6553064322
23	0.6541559248
24	0.6530825008
25	0.6519795358
26	0.6508979378
27	0.6493081527
28	0.6482114978
29	0.647373794
30	0.6461441287
31	0.6445420991
32	0.6434552158
33	0.6423958632
34	0.6412603015
35	0.6400286214
36	0.6388528114
37	0.6378513636
38	0.6364994897
39	0.6359441198
40	0.6351960475
41	0.6341517534
42	0.6326889993
43	0.6311035875
44	0.6302911793
45	0.6293911057
46	0.6283015699
47	0.6273247469
48	0.6268133606
49	0.6261225532
50	0.6256182716
51	0.6241816887
52	0.6234921773
53	0.6218301313
54	0.6213194414
55	0.6206792654
56	0.6202144696
57	0.6195754324
58	0.6188659723
59	0.6180788313
60	0.6173681013
61	0.6169682592
62	0.6162509504
63	0.6155765382
64	0.6152016369
65	0.614509368
66	0.6137060938
67	0.6130778545
68	0.6125417245
69	0.6111529034
70	0.6107783711
71	0.6103542074
72	0.6093503649
73	0.6087201629
74	0.608143177
75	0.6074794914
76	0.6066521638
77	0.6064200478
78	0.6049880116
79	0.6046996113
80	0.6039944588
81	0.603455419
82	0.6031246412
83	0.6027592151
84	0.6021970348
85	0.6018963688
86	0.6013481508
87	0.6010086734
88	0.6000350562
89	0.5995386929
90	0.5992733631
91	0.5987378841
92	0.5982862822
93	0.5978857748
94	0.5972826564
95	0.596753211
96	0.5962722244
97	0.5954241143
98	0.5948821271
99	0.5946662921
100	0.5941434993
101	0.5937121398
102	0.5934658865
103	0.5933063507
104	0.593046454
105	0.5927981573
106	0.59254631
107	0.5923791016
108	0.5921502909
109	0.5918895077
110	0.5914478031
111	0.5911899934
112	0.5909653711
113	0.590584188
114	0.5895622528
115	0.5884915443
116	0.588271058
117	0.588076253
118	0.587915208
119	0.5869443552
120	0.586710157
121	0.5865302613
122	0.5859789324
123	0.58518348
124	0.5849999621
125	0.5844489059
126	0.5835833679
127	0.583379444
128	0.582919902
129	0.5824859834
130	0.5822733147
131	0.5820145547
132	0.5813993357
133	0.5812241789
134	0.5810557038
135	0.5809188589
136	0.5807540036
137	0.580311561
138	0.5797645972
139	0.5795742606
140	0.5790772555
141	0.5789490809
142	0.5782876706
143	0.5779628922
144	0.5775812828
145	0.5773797599
146	0.577152266
147	0.5769527773
148	0.5768212063
149	0.5766940918
150	0.5764315776
151	0.5762796765
152	0.5761204622
153	0.5759910919
154	0.5757714171
155	0.5756331392
156	0.5754258825
157	0.5752736858
158	0.5749591121
159	0.5745526374
160	0.5743914061
161	0.5740462935
162	0.5738748016
163	0.5737537542
164	0.5735869824
165	0.5734238485
166	0.5732562385
167	0.5728266627
168	0.5726876494
169	0.5724882476
170	0.5723546809
171	0.5721995474
172	0.5720371364
173	0.5716238564
174	0.5710695115
175	0.5709400564
176	0.5707014305
177	0.5705742984
178	0.5702074533
179	0.5699012884
180	0.5697636086
181	0.569433155
182	0.5692324393
183	0.5690934497
184	0.5689582271
185	0.5688711838
186	0.5687065888
187	0.5684625405
188	0.568350976
189	0.5680791229
190	0.5679225114
191	0.5677755579
192	0.5674857029
193	0.5673535289
194	0.5672024972
195	0.5670607368
196	0.5669373685
197	0.5667672021
198	0.5666631648
199	0.5664771742
200	0.5663553218
201	0.566225674
202	0.566091256
203	0.5659900942
204	0.5659001805
205	0.5657373332
206	0.5656203448
