iter	Passed	Remaining
403	9716	38386
404	9743	38370
405	9767	38350
406	9793	38332
407	9818	38310
408	9844	38295
409	9869	38275
410	9897	38265
411	9926	38259
412	9952	38244
413	9977	38223
414	10002	38201
415	10024	38172
416	10047	38140
417	10070	38113
418	10093	38085
419	10117	38061
420	10140	38033
421	10163	38004
422	10186	37975
423	10207	37941
424	10231	37915
425	10255	37891
426	10277	37862
427	10300	37834
428	10324	37809
429	10350	37791
430	10376	37772
431	10399	37747
432	10423	37720
433	10455	37724
434	10477	37696
435	10500	37668
436	10522	37636
437	10545	37607
438	10566	37572
439	10590	37547
440	10612	37518
441	10635	37488
442	10658	37461
443	10683	37439
444	10706	37413
445	10730	37387
446	10754	37362
447	10777	37334
448	10801	37310
449	10825	37287
450	10849	37263
451	10873	37239
452	10897	37214
453	10924	37200
454	10948	37176
455	10971	37148
456	10998	37135
457	11022	37109
458	11043	37076
459	11067	37051
460	11091	37026
461	11114	36999
462	11138	36977
463	11161	36948
464	11184	36921
465	11206	36891
466	11230	36864
467	11252	36835
468	11277	36813
469	11299	36783
470	11323	36759
471	11347	36736
472	11373	36718
473	11396	36691
474	11418	36658
475	11440	36629
476	11464	36605
477	11488	36580
478	11511	36553
479	11534	36526
480	11557	36497
481	11580	36472
482	11603	36445
483	11625	36415
484	11648	36385
485	11670	36356
486	11695	36335
487	11718	36308
488	11742	36284
489	11766	36260
490	11789	36232
491	11812	36207
492	11836	36180
493	11860	36157
494	11882	36129
495	11907	36106
496	11930	36080
497	11953	36051
498	11976	36025
499	11999	35999
500	12022	35970
501	12043	35939
502	12068	35916
503	12089	35884
504	12112	35859
505	12136	35834
506	12159	35807
507	12181	35777
508	12206	35755
509	12228	35725
510	12252	35701
511	12274	35673
512	12297	35644
513	12321	35623
514	12347	35604
515	12372	35582
516	12394	35554
517	12419	35531
518	12442	35505
519	12465	35477
520	12488	35452
521	12513	35430
522	12535	35402
523	12557	35371
524	12579	35341
525	12601	35313
526	12624	35287
527	12647	35259
528	12669	35230
529	12693	35206
530	12717	35181
531	12739	35154
532	12763	35128
533	12787	35105
534	12809	35076
535	12833	35053
536	12857	35027
537	12880	35002
538	12905	34980
539	12929	34956
540	12953	34934
541	12976	34907
542	13001	34886
543	13024	34860
